pollster,pollster_rating_id,NCPP/AAPOR/Roper,#_polls,total_weight,correct,poll_WAR,house_bias,weighted_average_error,raw_average_error,weighted_reverted_error,percentile,avg_poll_WAR,house_bias_effect,adj_error,raw_p_m,plus_minus,grade,grade_value,fte_grade,fte_plus_minus
Ipsos,154,yes,104,67.7024,0.75,3.5805,0.4461,4.3859,4.5828,-0.0374,0.608,0.0344,0,4.3485,-1.111,-1.1,B+,1.05,B-,0.342
Alaska Survey Research,155,no,9,4.8367,0.4444,-2.9767,0.6324,6.3556,7.4111,0.7041,0.12,-0.2977,0,7.5597,1.003,1.0,C/D,0.60,B/C,0.574
JMC Analytics,156,no,13,9.1103,0.8846,0.988,0.3269,5.2802,5.6877,0.7207,0.118,0.0760,0,6.5009,0.306,0.3,C/D,0.60,B/C,0.511
Jayhawk Consulting Services,157,no,2,1.1907,0.5,-1,0,9.2525,37.615,2.604,0.005,-0.1000,0,12.3565,4.162,4.2,D/D,0.30,C/D,2.794
Jeffrey Stonecash,158,no,1,0.3439,1,0.4056,0,5.717,11.43,0.1314,0.385,0.0406,0,6.3484,0.206,0.2,C/D,0.60,B/C,0.770
Jim Meader (KELOLAND-TV),159,no,4,1.1985,1,0.68,0.8444,5.4003,4.5675,0.0116,0.535,0.0680,0,5.9119,-0.082,-0.1,B/C,0.90,B/C,0.559
KRC Research,160,yes,22,4.0909,0.9091,1.1134,0.8133,5.8966,7.1309,-0.1535,0.73,0.0506,0,5.7431,-0.193,-0.2,B/C,0.90,A/B,-0.070
Keating Research,161,no,5,3.1248,0.8,0.3234,2.5437,4.5348,2.422,-0.2902,0.846,0.0323,0,4.7446,-0.851,-0.9,B/C,0.90,B/C,0.412
Kiley & Company,162,no,5,2.5114,1,0.6066,4.6305,5.1529,4.352,-0.4583,0.915,0.0607,0,5.1946,-0.554,-0.6,B/C,0.90,B/C,0.308
Kimball Political Consulting,163,no,6,3.2574,0.8333,-0.5145,-2.4204,5.8006,6.2883,0.49,0.183,-0.0515,0,6.7906,0.497,0.5,C/D,0.60,B/C,0.741
Knowledge Networks,164,yes,3,1.1004,1,0.2049,0.4922,5.3014,4.1633,-0.07,0.653,0.0205,0,5.2314,-0.530,-0.5,B/C,0.90,A/B,-0.094
Lake Research Partners,165,no,12,6.8315,0.8333,0.2765,0.7236,4.3869,4.0558,-0.5183,0.927,0.0230,0,4.3686,-1.098,-1.1,B/C,0.90,A/B,-0.133
Landmark Communications,166,no,48,27.9837,0.7708,-3.1802,-1.0532,4.1986,4.4483,-0.7267,0.954,-0.0663,0.0133,3.9852,-1.351,-1.4,B+,1.05,A,-0.786
Lauer Johnson Research,167,no,1,0.3439,0,-0.9103,0,5.7989,13.81,0.1887,0.334,-0.0910,0,6.4876,0.297,0.3,C/D,0.60,B/C,0.801
"Lauer, Lalley, Victoria",168,yes,1,0.2203,1,0.2224,0,5.4286,1.66,-0.081,0.669,0.0222,0,5.3476,-0.453,-0.5,B/C,0.90,A/B,-0.046
Liberty Opinion Research,169,no,1,0.2178,1,0,0,5.5259,6.08,0.0294,0.507,0.0000,0,6.0553,0.013,0.0,B/C,0.90,B/C,0.641
Lincoln Institute,170,no,2,0.5905,0.75,-0.0386,2.3262,5.4319,4.13,-0.1817,0.759,-0.0039,0,5.7502,-0.188,-0.2,B/C,0.90,B/C,0.582
Loras College,171,no,18,9.3719,0.7222,-2.1023,0.2277,6.922,8.1217,0.7287,0.114,-0.1168,0,8.1507,1.393,1.4,D/D,0.30,B/C,0.983
Los Angeles Times,172,yes,36,9.5048,0.8472,0.5412,0.616,4.8459,5.0328,0.3516,0.253,0.0150,0,5.1975,-0.552,-0.6,B/C,0.90,A/B,-0.448
Louis Harris & Associates,173,yes,2,0.4682,1,0.4664,4.3,5.2956,0.86,-0.1777,0.753,0.0466,0,5.1179,-0.605,-0.6,B/C,0.90,A/B,-0.072
Louisville Courier-Journal,174,yes,10,3.1724,0.8,-0.1161,-0.734,4.9324,3.538,-0.203,0.775,-0.0116,0,4.7294,-0.861,-0.9,B/C,0.90,A/B,-0.275
Lucid,175,no,25,17.4828,0.88,3.7334,2.0862,4.1931,4.2,0.6912,0.137,0.1493,0.27155,5.65585,-0.250,-0.3,B-,0.93,B-,0.354
Lycoming College,176,no,3,1.1449,0.6667,-0.6265,0,5.7658,7.2667,0.1236,0.391,-0.0627,0,6.3894,0.233,0.2,C/D,0.60,B/C,0.801
MFour Mobile Research,177,no,2,1.1052,1,0,3.7685,5.1994,2.81,-0.3905,0.885,0.0000,0,5.3089,-0.479,-0.5,B/C,0.90,B/C,0.481
MSR Group,178,no,6,1.8955,1,0.0823,0,5.4663,5.4067,0.0549,0.464,0.0082,0,6.0212,-0.010,0.0,B/C,0.90,B/C,0.415
Magellan Strategies,179,no,18,7.6654,0.9444,0.8846,-0.2523,5.6329,6.5061,0.1515,0.366,0.0491,0,6.2844,0.163,0.2,B/C,0.90,B/C,0.104
Maine People's Resource Center,180,no,14,7.99,0.9286,0.2355,0.5026,5.6919,5.7557,0.3874,0.232,0.0168,0,6.5793,0.358,0.4,C/D,0.60,B/C,0.416
Manhattanville College,181,no,3,0.5752,1,0.2553,0.3429,5.6056,6.25,-0.0447,0.618,0.0255,0,6.0609,0.016,0.0,B/C,0.90,B/C,0.566
MarblePort,182,no,2,1.1624,1,0.0852,-3.275,5.5189,5.56,0.078,0.44,0.0085,0,6.0969,0.040,0.0,B/C,0.90,B/C,0.670
Marist College,183,yes,189,81.1036,0.8333,-1.5622,0.2602,5.0511,5.504,-0.2396,0.811,-0.0083,0,4.8115,-0.807,-0.8,B,1.00,A,-0.669
Market Decisions Research,184,no,4,1.4941,1,0.2578,-0.0192,5.3427,4.665,-0.1491,0.726,0.0258,0,5.6936,-0.226,-0.2,B/C,0.90,B/C,0.537
Market Research Insight,185,no,19,9.2805,0.9474,0.1567,1.7398,6.9788,7.2363,1.4934,0.041,0.0082,0.18495,9.15715,2.055,2.1,D/D,0.30,B/C,0.839
Market Research Institute Inc.,186,no,11,3.5583,1,1.5982,0.6007,5.0194,4.2018,-0.0639,0.643,0.1453,0,5.4555,-0.382,-0.4,B/C,0.90,B/C,0.288
Market Shares Corp.,187,yes,25,7.637,0.84,-0.0346,0.0193,5.3618,5.8336,-0.022,0.594,-0.0014,0,5.3398,-0.459,-0.5,B/C,0.90,A/B,-0.190
Market Solutions Group,188,yes,4,0.931,1,0.3454,0.9332,5.3693,4.36,-0.0616,0.639,0.0345,0,5.3077,-0.480,-0.5,B/C,0.90,A/B,-0.101
Escalent,189,yes,1,0.2959,1,0.1754,-4.28,5.3835,1.12,-0.1045,0.687,0.0175,0,5.279,-0.499,-0.5,B/C,0.90,A/B,-0.055
Market Trends Pacific,190,no,1,0.2959,0.5,-0.2355,0,5.4847,4.54,-0.0171,0.584,-0.0236,0,5.9676,-0.045,0.0,B/C,0.90,B/C,0.629
MarketAide Services Inc.,191,no,1,0.2959,1,0.1569,7.6,5.6823,11.22,0.2064,0.32,0.0157,0,6.3887,0.232,0.2,C/D,0.60,B/C,0.735
Marketing Research Institute,192,no,9,2.8125,0.3333,-4.104,-1.464,6.7296,9.8378,0.1464,0.37,-0.4104,0,7.376,0.882,0.9,C/D,0.60,B/C,0.911
Marketing Resource Group (MRG),193,no,10,3.9137,0.3,-4.3456,1.3003,6.7297,9.836,1.0208,0.064,-0.4346,0,8.2505,1.458,1.5,D/D,0.30,B/C,1.024
Marketing Workshop,194,no,8,2.2735,0.5,-3.0715,1.3874,6.6575,10.6012,0.7698,0.098,-0.3072,0,7.9273,1.245,1.2,D/D,0.30,B/C,1.120
Marquette University Law School,195,yes,13,6.9121,0.8077,0.3435,-0.2973,3.6322,2.9308,-1.7274,0.996,0.0264,0,1.9048,-2.721,-2.7,A/B,1.08,A/B,-0.870
Marshall Marketing,196,no,4,1.4242,1,0.944,-1.0953,5.2806,3.4525,0.0522,0.474,0.0944,0,5.8328,-0.134,-0.1,B/C,0.90,B/C,0.452
Mason-Dixon Polling & Strategy,197,no,445,155.688,0.8596,5.2112,-0.7084,4.8147,5.1262,-0.2005,0.771,0.0117,0,5.1142,-0.607,-0.6,B,1.00,A-,-0.394
MassINC Polling Group,198,yes,20,10.5992,0.85,0.2467,-0.6248,3.6582,4.5285,-1.4434,0.99,0.0123,0,2.2148,-2.517,-2.5,A,1.20,A/B,-0.744
Massie & Associates,199,no,2,0.4406,0,-1.9894,0,6.3274,23.98,0.5266,0.169,-0.1989,0,7.354,0.868,0.9,C/D,0.60,B/C,0.997
Master Image,200,no,2,0.4356,1,0,0,5.3239,1.16,-0.0835,0.671,0.0000,0,5.7404,-0.195,-0.2,B/C,0.90,B/C,0.425
McKeon & Associates,202,no,3,1.3491,0.6667,-0.2358,1.1364,5.2201,2.9067,-0.372,0.879,-0.0236,0,5.3481,-0.453,-0.5,B/C,0.90,B/C,0.347
McLaughlin & Associates,203,no,27,13.0599,0.6852,-3.4888,-2.8099,7.4863,7.3007,2.6362,0.003,-0.1292,0.452475,11.074975,3.318,3.3,D,0.40,C/D,1.557
Meeting Street Insights,204,no,4,3.3711,0.5,-0.9207,0.8947,5.0686,4.06,-0.0658,0.645,-0.0921,0,5.5028,-0.351,-0.4,B/C,0.90,B/C,0.618
Mellman Group,205,no,26,13.7483,0.8269,3.6098,3.0163,3.973,4.4888,0.3096,0.277,0.1388,0.504075,5.286675,-0.494,-0.5,B-,0.93,B/C,0.152
Merrill Poll,206,no,2,0.4356,1,0.0439,0,5.6531,8.715,-0.0201,0.588,0.0044,0,6.133,0.064,0.1,B/C,0.90,B/C,0.497
MRG Research,207,no,24,10.8939,0.8333,-1.0694,-0.7407,9.1576,8.9446,2.0742,0.015,-0.0446,0,11.7318,3.751,3.8,D,0.40,B/C,1.112
Middle Tennessee State University,208,yes,5,2.411,1,0.1253,0,6.3378,9.308,0.7307,0.112,0.0125,0,7.0685,0.680,0.7,C/D,0.60,B/C,0.184
Millersville University,210,no,5,1.3684,0.8,-0.4131,-1.1765,6.6027,14.158,0.5958,0.151,-0.0413,0,7.6985,1.095,1.1,C/D,0.60,B/C,0.984
Minnesota State University Moorhead,211,no,4,1.3761,1,0.0045,0,6.0173,9.2025,0.4862,0.187,0.0005,0,7.0035,0.637,0.6,C/D,0.60,B/C,0.711
Missouri State University,212,no,3,1.3141,0.6667,-0.7161,-1.4149,5.3417,4.36,-0.209,0.779,-0.0716,0,5.6327,-0.266,-0.3,B/C,0.90,B/C,0.453
Mitchell Research & Communications,213,no,72,31.7146,0.6944,-4.8874,0.1512,5.8721,7.1457,0.2177,0.314,-0.0679,0,6.5898,0.365,0.4,C+,0.85,C-,1.368
Momentum Analysis,214,no,3,1.1083,0.3333,-1.6676,0,6.4437,13.65,0.5947,0.153,-0.1668,0,7.5384,0.989,1.0,C/D,0.60,B/C,1.125
Monmouth University,215,yes,120,58.1074,0.7833,-5.6823,0.3492,5.6,5.8959,-0.374,0.881,-0.0474,0,5.226,-0.534,-0.5,B,1.00,A,-0.708
Montana State University Billings,216,no,11,5.9137,0.5909,-3.0408,1.1695,7.1377,6.6391,0.5918,0.155,-0.2764,0.042375,8.271875,1.472,1.5,D/D,0.30,B/C,0.765
Moore Information,217,no,12,5.8231,0.75,-1.181,-1.5569,5.9592,6.4633,0.2689,0.293,-0.0984,0.139225,6.867325,0.547,0.5,C/D,0.60,B/C,0.512
Morning Consult,218,no,66,59.2672,0.8333,7.3003,0.2757,4.5926,4.4871,0.0355,0.498,0.1106,0,5.1281,-0.598,-0.6,B,1.00,B,0.261
Muhlenberg College,219,yes,32,17.2984,0.8594,2.444,0.2855,3.4708,3.77,-0.3509,0.872,0.0764,0,3.1199,-1.921,-1.9,A-,1.10,B+,-0.221
Multi-Quest International,220,no,4,1.8177,0.75,-0.1167,1.3203,5.5131,5.39,-0.019,0.586,-0.0117,0,5.9941,-0.028,0.0,B/C,0.90,B/C,0.711
NBC News/The Wall Street Journal,221,yes,34,15.0777,0.7794,1.7843,0.7468,3.5606,4.0574,-0.1504,0.728,0.0525,0,3.4102,-1.729,-1.7,A-,1.10,B+,-0.074
NPR,222,yes,3,1.3255,0.1667,-1.4945,0.0349,5.3427,4.7167,0.134,0.381,-0.1495,0,5.4767,-0.368,-0.4,B/C,0.90,B/C,0.019
NRECA Market Research,223,no,1,0.2479,1,0,0,5.5323,6.27,-0.0098,0.574,0.0000,0,6.0225,-0.009,0.0,B/C,0.90,B/C,0.633
National Journal,224,yes,12,5.5168,1,2.3924,0.2804,3.8807,2.5892,-0.3923,0.887,0.1994,0,3.4884,-1.678,-1.7,A/B,1.08,A/B,-0.241
National Research Inc.,225,no,15,8.6855,0.7667,0.9789,-0.0169,3.7581,4.39,-0.8212,0.96,0.0653,0,3.4369,-1.712,-1.7,A/B,1.08,A/B,-0.359
Neighbor,226,no,1,0.2479,1,0.1288,0,5.8007,17.1,0.1781,0.346,0.0129,0,6.4788,0.291,0.3,C/D,0.60,B/C,0.785
Neighborhood Research and Media,227,no,3,1.125,0.3333,-1.0189,-2.6218,5.6367,6.9667,0.0844,0.433,-0.1019,0,6.2211,0.122,0.1,B/C,0.90,B/C,0.633
New England College,228,no,19,10.1616,0.7368,-0.7009,-1.5215,4.0762,4.1858,-0.2982,0.85,-0.0369,0.130375,4.408375,-1.072,-1.1,B+,1.05,A/B,-0.034
New Frontier Strategy,229,no,2,0.349,0.5,-0.8988,0,5.8116,14.055,0.0569,0.462,-0.0899,0,6.3685,0.219,0.2,C/D,0.60,B/C,0.742
New Mexico State University,230,no,1,0.1427,0,-0.5706,0,5.5369,7.15,-0.0026,0.566,-0.0571,0,6.0343,-0.001,0.0,B/C,0.90,B/C,0.591
Nielson Brothers Polling,231,no,11,6.8218,0.9091,-0.538,1.3796,10.474,12.2627,3.2282,0,-0.0489,0.0949,14.2971,5.440,5.4,D/D,0.30,C/D,2.218
"Normington, Petts & Associates",232,no,12,5.0504,0.5833,-2.4835,1.3867,7.0153,7.5525,0.871,0.082,-0.2070,0.096675,8.482975,1.611,1.6,D/D,0.30,B/C,0.834
"North Star Opinion Research/Ayres, McHenry & Associates",233,no,9,3.2541,0.9444,1.1944,-0.6422,4.762,4.9711,-0.4039,0.897,0.1194,0,4.8581,-0.776,-0.8,B/C,0.90,B/C,0.050
Northern Arizona University,234,yes,4,1.4081,1,0.5864,-1.3342,5.179,3.58,-0.2638,0.83,0.0586,0,4.9152,-0.738,-0.7,B/C,0.90,A/B,-0.191
OH Predictive Insights,235,no,7,5.0223,0.7143,-0.1182,-2.5599,4.937,4.4957,0.2065,0.318,-0.0118,0,5.6435,-0.259,-0.3,B/C,0.90,B/C,0.417
Ohio State University,236,yes,1,0.3108,1,0.2001,-4.83,5.4565,3.68,0.0023,0.547,0.0200,0,5.4588,-0.380,-0.4,B/C,0.90,A/B,-0.028
Ohio University,237,yes,2,0.8632,0.5,-0.3611,8.2278,5.8171,8.76,0.4948,0.181,-0.0361,0,6.3119,0.182,0.2,B/C,0.90,B/C,0.159
Old Dominion University,238,no,1,0.5208,1,0.3554,-0.75,5.4597,4.48,-0.0534,0.627,0.0355,0,5.9063,-0.086,-0.1,B/C,0.90,B/C,0.682
OnMessage Inc.,239,no,12,6.1877,0.75,-0.2969,-3.6559,5.9189,6.765,0.2327,0.303,-0.0247,0.663975,7.315575,0.843,0.8,C/D,0.60,B/C,0.517
OnPoint,240,no,6,2.2354,1,1.5079,1.5214,4.8694,2.5683,-0.453,0.913,0.1508,0,4.9164,-0.737,-0.7,B/C,0.90,B/C,0.420
Opinion Consultants,241,no,2,0.7523,1,0.0651,-4.9523,5.5941,6.62,0.0826,0.435,0.0065,0,6.1767,0.093,0.1,B/C,0.90,B/C,0.727
Opinion Research Associates,242,no,14,5.4208,0.6071,-3.812,4.5003,8.4842,9.1879,1.9612,0.019,-0.2723,0.875075,11.820475,3.809,3.8,D/D,0.30,C/D,1.654
Opinion Savvy/InsiderAdvantage,243,no,140,51.0452,0.6679,-17.5502,-0.6121,5.0389,6.6372,-0.0019,0.561,-0.1254,0,5.537,-0.329,-0.3,B-,0.93,B,0.043
OpinionWorks,244,no,6,2.9109,0.9167,-0.3919,0,5.992,7.2867,0.4381,0.21,-0.0392,0,6.9301,0.589,0.6,C/D,0.60,B/C,0.685
Optimus,245,yes,19,11.302,0.8421,-0.2579,-2.1953,6.3261,7.2337,-0.2708,0.838,-0.0136,0.298825,6.354125,0.209,0.2,C+,0.85,B/C,0.218
Orion Strategies,246,no,4,1.5194,1,0.1584,3.8972,5.2304,3.205,-0.4072,0.901,0.0158,0,5.3232,-0.470,-0.5,B/C,0.90,B/C,0.390
Overtime Politics,247,no,12,2.6136,0.6667,-1.759,0,6.6391,9.8183,0.1688,0.35,-0.1466,0,7.3079,0.837,10.0,F,0.00,F,0.561
PSI,248,no,3,0.4972,0.6667,-0.4245,-2.0816,5.6383,11.6867,0.1132,0.397,-0.0425,0,6.2515,0.142,0.1,B/C,0.90,B/C,0.761
Pan Atlantic Research,249,no,17,7.0431,0.9412,0.7007,-1.0966,5.8709,6.2694,0.0507,0.478,0.0412,0.02415,6.44575,0.270,0.3,C/D,0.60,B/C,0.238
PSB Research,250,no,19,7.7127,0.6316,-3.8709,0.4678,7.1134,7.7505,0.727,0.116,-0.2037,0,8.3404,1.517,1.5,D/D,0.30,B/C,0.587
Big Data Poll,251,no,4,2.9044,0.25,-1.492,-4.6,4.7981,3.05,0.0541,0.466,-0.1492,0,5.3522,-0.450,10.0,F,0.00,F,0.523
Personal Marketing Research,252,no,3,0.3027,0.6667,-0.6394,0,5.5014,5.41,-0.0782,0.661,-0.0639,0,5.9232,-0.074,-0.1,B/C,0.90,B/C,0.530
Pew Research Center,253,yes,25,9.3743,0.5,-4.3895,1.1367,4.1986,4.3176,0.422,0.22,-0.1756,0.034175,4.654775,-0.910,-0.9,B/C,0.90,B/C,0.005
Pharos Research Group,254,no,33,17.6829,0.9394,3.6302,1.0432,3.7767,3.7279,-0.1098,0.702,0.1100,0.0108,4.1777,-1.224,10.0,F,0.00,F,-0.181
Polling Company/Global Strategy Group (Hotline Bullseye),255,yes,4,1.181,0.25,-1.1199,-2.531,5.3796,4.2925,0.0871,0.427,-0.1120,0,5.4667,-0.375,-0.4,B/C,0.90,B/C,0.019
Potomac Incorporated,256,yes,8,2.0257,0.875,0.102,0.1512,5.1818,4.5675,-0.2688,0.834,0.0102,0,4.913,-0.740,-0.7,B/C,0.90,A/B,-0.197
Praecones Analytica,257,no,3,1.9968,0.3333,-0.6645,-4.926,4.7754,1.7967,-0.6271,0.944,-0.0665,0,4.6483,-0.914,-0.9,B/C,0.90,B/C,0.321
Princeton Survey Research Associates International,258,yes,35,12.4619,0.6571,-1.4858,0.3048,4.581,4.9646,0.4485,0.206,-0.0425,0,5.0295,-0.663,-0.7,B,1.00,A/B,-0.089
Probolsky Research,259,no,3,1.9905,0.6667,-0.5642,-1.8227,5.8251,6.96,0.1158,0.395,-0.0564,0,6.4409,0.267,0.3,C/D,0.60,B/C,0.623
Public Opinion Strategies,260,yes,77,32.9514,0.6818,-7.1583,-1.6656,5.1568,5.4014,-0.1458,0.722,-0.0930,0.1664,5.1774,-0.566,-0.6,B,1.00,A-,-0.403
Public Opinion Strategies/Hamilton Campaigns (Texas Credit Union League),261,yes,2,0.2854,1,0.363,0,5.5518,6.855,-0.0025,0.564,0.0363,0,5.5493,-0.321,-0.3,B/C,0.90,A/B,-0.126
Public Policy Institute of California,262,yes,17,8.2847,1,1.0592,-1.0978,5.2599,5.0582,0.2271,0.309,0.0623,0.02445,5.51145,-0.346,-0.3,B/C,0.90,A/B,-0.435
Public Policy Polling,263,no,454,211.5587,0.793,-7.9317,0.6966,4.7699,5.1059,-0.3381,0.868,-0.0175,0,4.9318,-0.727,-0.7,B,1.00,A-,-0.392
Public Strategies Inc.,264,no,6,0.8562,1,1.089,0,5.7245,7.9783,0.0886,0.419,0.1089,0,6.3131,0.182,0.2,B/C,0.90,B/C,0.682
Purple Strategies,265,no,4,2.3268,0.875,0.6514,-0.1425,4.9327,3.0175,-0.0786,0.663,0.0651,0,5.3541,-0.449,-0.4,B/C,0.90,B/C,0.611
QEV Analytics,266,no,1,0.4,0,-0.637,0,5.5478,6.37,-0.0667,0.647,-0.0637,0,5.9811,-0.036,0.0,B/C,0.90,B/C,0.656
Quinnipiac University,267,yes,219,97.4021,0.8174,-0.1633,0.9265,4.7124,4.7965,0.1259,0.387,-0.0007,0,4.8383,-0.789,-0.8,B,1.00,A-,-0.315
R.L. Repass & Partners,268,no,1,0.2178,1,0.0288,0,5.6457,11.58,0.0336,0.503,0.0029,0,6.1793,0.094,0.1,B/C,0.90,B/C,0.678
RABA Research,269,no,5,3.5174,0.6,-0.5826,3.1796,6.7579,7.824,0.9686,0.07,-0.0583,0,8.2265,1.442,1.4,D/D,0.30,B/C,1.118
RAND (American Life Panel),270,no,4,2.4712,1,1.2569,3.7269,4.8745,2.675,-0.095,0.683,0.1257,0,5.2795,-0.498,-0.5,B/C,0.90,B/C,0.510
RBI Strategies & Research,271,no,4,2.8199,1,0.609,2.867,4.7897,2.37,-0.1402,0.718,0.0609,0,5.1495,-0.584,-0.6,B/C,0.90,B/C,0.291
RKM Research and Communications Inc.,272,no,35,8.9424,0.8429,0.124,-0.0746,5.1328,5.226,-0.2146,0.781,0.0035,0,5.4182,-0.407,-0.4,B/C,0.90,B+,-0.250
RMS Research,273,no,3,0.9026,1,0.2001,-1.6632,6.0572,11.1233,0.437,0.214,0.0200,0,6.9942,0.631,0.6,C/D,0.60,B/C,0.829
RRH Elections,274,no,9,5.6702,0.8333,0.0963,-0.9332,4.8402,4.2167,-0.6459,0.948,0.0096,0,4.6943,-0.884,-0.9,B/C,0.90,B/C,0.252
RT Strategies,275,yes,45,15.4755,0.6667,-3.3004,1.0027,5.9218,5.9213,0.099,0.407,-0.0733,0.000675,6.021475,-0.010,0.0,B-,0.93,B+,-0.202
Rainmaker Media Group,276,no,1,0.4756,1,0.0548,7.05,5.8277,12.12,0.3351,0.259,0.0055,0,6.6628,0.413,0.4,C/D,0.60,B/C,0.793
Rasmussen Reports/Pulse Opinion Research,277,no,748,314.2269,0.7814,-14.0467,-0.8942,4.8572,5.1247,0.2583,0.295,-0.0188,0,5.6155,-0.277,-0.3,B-,0.93,B,0.035
Remington Research Group,279,no,43,30.9889,0.7209,-1.9064,-1.0672,5.4426,5.3849,-0.1538,0.732,-0.0443,0.0168,5.8056,-0.152,-0.2,B-,0.93,B,0.264
Research & Polling Inc.,280,no,40,19.4094,0.875,-0.3628,0.1862,4.2137,4.3388,-0.948,0.966,-0.0091,0,3.7657,-1.495,-1.5,B+,1.05,A,-0.751
Research 2000,281,no,278,99.7725,0.8813,8.3192,0.246,5.2549,5.4576,0.5316,0.167,0.0299,0,6.2865,0.165,10.0,F,0.00,F,0.351
Research America Inc.,282,no,3,1.1933,1,0.8389,0,5.8873,14.39,0.3179,0.269,0.0839,0,6.7052,0.441,0.4,C/D,0.60,B/C,1.132
Dynata,283,no,2,0.4356,1,0.0405,0,5.6816,9.37,0.0604,0.456,0.0041,0,6.242,0.136,0.1,B/C,0.90,B/C,0.766
Wick,284,no,7,6.6211,0.7143,0.1392,-3.9568,3.3842,2.1986,-1.4729,0.992,0.0139,0,2.4113,-2.387,-2.4,A/B,1.08,A/B,-0.156
Rhode Island College,285,no,5,2.0401,1,1.1229,-0.1243,5.6025,6.078,-0.1073,0.694,0.1123,0,5.9952,-0.027,0.0,B/C,0.90,B/C,0.605
Rice University,286,no,2,0.6092,1,0.0827,-0.3569,5.5377,5.91,-0.0227,0.596,0.0083,0,6.015,-0.014,0.0,B/C,0.90,B/C,0.669
Richard Day Research,287,no,11,3.4403,1,1.9723,0.7452,5.3433,5.4936,-0.0837,0.673,0.1793,0,5.7596,-0.182,-0.2,B/C,0.90,B/C,0.401
Richmond Times-Dispatch,288,no,4,1.2579,1,0.8,2.7658,5.2065,3.32,0.0284,0.511,0.0800,0,5.7349,-0.198,-0.2,B/C,0.90,B/C,0.565
Riggs Research Services,289,no,1,0.4205,0,-1,0,6.6967,33.65,0.7938,0.096,-0.1000,0,7.9905,1.287,1.3,D/D,0.30,C/D,1.364
Riley Research Associates,290,no,7,2.4874,1,1.2072,-0.0511,4.8039,2.6829,-0.2254,0.797,0.1207,0,5.0785,-0.631,-0.6,B/C,0.90,B/C,0.307
Rivercity Polling,291,no,1,0.4205,1,0.0922,0,5.5622,6.67,-0.0004,0.559,0.0092,0,6.0618,0.017,0.0,B/C,0.90,B/C,0.587
Roanoke College,292,yes,18,9.1724,0.8056,0.0781,0.8796,6.6909,7.7767,2.0121,0.017,0.0043,0,8.703,1.756,1.8,D/D,0.30,B/C,1.009
Lester & Associates,293,no,1,0.1427,1,0,0,5.7048,18.92,0.0162,0.527,0.0000,0,6.221,0.122,0.1,B/C,0.90,B/C,0.758
Rossman Group,294,no,1,0.4468,1,0.0098,0,5.4553,4.21,-0.0146,0.58,0.0010,0,5.9407,-0.063,-0.1,B/C,0.90,B/C,0.651
Rutgers University,295,yes,16,7.5815,0.875,-0.0232,0.4593,7.1756,6.7956,2.1136,0.011,-0.0015,0,9.2892,2.142,2.1,D/D,0.30,B/C,0.954
SMS Research & Marketing Services,296,no,1,0.3876,0,-0.8675,0,5.6774,9.74,0.1796,0.344,-0.0868,0,6.357,0.211,0.2,C/D,0.60,B/C,0.742
SSRS,297,yes,30,21.5303,0.6,-1.8537,2.6709,6.2402,6.165,1.5438,0.035,-0.0618,0.417725,8.201725,1.426,1.4,C-,0.65,C,0.966
Saguaro Strategies,298,no,2,1.4522,0,-1.387,3.5,5.4462,5.05,0.3673,0.242,-0.1387,0,6.3135,0.183,0.2,B/C,0.90,B/C,0.811
Saint Leo University,299,no,6,4.1285,0.3333,-1.636,6.6066,6.8625,8.5017,2.242,0.007,-0.1636,0,9.6045,2.350,2.3,D/D,0.30,C/D,1.426
Schapiro Group,300,no,2,0.2854,0.5,-0.6334,0,5.9694,21.49,0.1687,0.352,-0.0633,0,6.6381,0.396,0.4,C/D,0.60,B/C,0.963
Schoen Cooperman Research,301,no,1,0.4205,1,0.1909,-2.02,5.3822,2.39,-0.0346,0.604,0.0191,0,5.8476,-0.124,-0.1,B/C,0.90,B/C,0.630
SEA Polling & Strategic Design,302,no,12,5.118,0.8333,1.3542,-0.0778,4.2816,3.0208,-0.1983,0.769,0.1129,0,4.5833,-0.957,-1.0,B/C,0.90,B/C,0.145
Scripps Howard,303,yes,5,1.5105,1,0.0827,-1.3539,5.4191,4.79,-0.1097,0.7,0.0083,0,5.3094,-0.479,-0.5,B/C,0.90,A/B,-0.098
Selzer & Co.,304,yes,50,19.1157,0.78,-1.2272,-0.8222,3.3471,4.5626,-1.9922,1,-0.0245,0,1.3549,-3.083,-3.1,A+,1.30,A+,-1.165
Siena College,305,yes,55,26.5665,0.8727,0.6101,0.2858,4.9819,5.02,-0.4311,0.907,0.0111,0,4.5508,-0.978,-1.0,B,1.00,A,-0.829
Singularis Group,306,no,1,0.5809,1,0.4265,0,5.2397,0.8,-0.1828,0.761,0.0427,0,5.5569,-0.316,-0.3,B/C,0.90,B/C,0.538
SocialSphere,307,no,2,1.099,1,0.7794,-5.51,5.5823,6.14,0.365,0.244,0.0779,0,6.4473,0.271,0.3,C/D,0.60,B/C,0.767
SoonerPoll.com,308,yes,25,13.2864,0.8,-3.2599,0.0506,7.8626,8.682,1.5407,0.037,-0.1304,0,9.4033,2.217,2.2,D+,0.50,C+,0.702
Southeastern Louisiana University,309,no,8,2.961,0.875,-0.2986,0.4711,5.8895,6.5712,0.3305,0.263,-0.0299,0,6.72,0.450,0.5,C/D,0.60,B/C,0.678
